price,expenses,address,size,bedrooms,bathrooms,url,listing_url
1200000,84000,"Marcelo T de Alvear  y Libertad
                ",126,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14970151
1500000,20000,"Las Heras 1800
                ",125,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14980235
4500000,260000,"Las Heras 3000
                ",180,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--15011701
Consultar Precio,N/A,"Arenales 1600
                ",118,3,3,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--10892565
Consultar Precio,154000,"Quintana 50 piso 6 A y Parera
                ",183,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--12480704
Consultar Precio,150000,"LIBERTAD 1300
                ",222,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--12623614
Consultar Precio,66789,"Roberto M Ortiz 1900
                ",105,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--12769487
Consultar Precio,N/A,"Avenida del Libertador 700
                ",148,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--12882291
Consultar Precio,350000,"Alvear  al 1300
                ",400,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--12899538
Consultar Precio,432758,"Talcahuano al 1200
                ",193,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--13027960
Consultar Precio,140000,"Avenida Callao 1500
                ",264,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--13051220
Consultar Precio,125357,"RODRíGUEZ PEñA 1800
                ",186,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--13945606
Consultar Precio,N/A,"Posadas al 1400
                ",290,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--14041994
Consultar Precio,280000,"LIBERTAD 1500
                ",200,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14117314
Consultar Precio,350000,"Rodríguez Peña al 1600
                ",317,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--14293449
Consultar Precio,78000,"Quintana Manuel Pte Av al 200
                ",150,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14493269
Consultar Precio,159000,"Departamento en  alquiler en Recoleta - Posadas al 1400
                ",178,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14536718
Consultar Precio,88000,"Departamento en Alquiler en Recoleta - 3 Dorm - Av Libertador al 800
                ",110,3,3,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14542141
Consultar Precio,150000,"Quintana 500 - ALQUILER 4 AMBIENTES EXCELENTE ESTADO
                ",165,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14545585
Consultar Precio,78000,"Quintana Manuel Pte Av al 200
                ",150,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14603603
Consultar Precio,125090,"Rodríguez Peña al 1500
                ",N/A,3,3,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--14614051
Consultar Precio,N/A,"Marcelo Torcuato de Alvear 1500
                ",110,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14648843
Consultar Precio,84000,"Av Quintana  y Parera Categoria Super Luminoso Sup 104 m2
                ",N/A,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14653465
2400000,317000,"Galileo al 2400
                ",232,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--14654999
4000000,94000,"Parera al 100
                ",N/A,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14655115
990000,100000,"Avenida Presidente Manuel Quintana 200
                ",81,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14662995
4200000,90000,"French y Laprida
                ",180,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--14664213
2600000,140000,"Posadas  al 1400
                ",200,3,3,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--14677392
2500000,N/A,"POSADAS  al 1400
                ",245,3,3,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14680903
1800000,423000,"Talcahuano al 1200
                ",193,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--14693450
1800000,423000,"Talcahuano al 1200
                ",193,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--14693449
3500000,N/A,"LIBERTAD 1300
                ",N/A,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14731215
1600000,208238,"Departamento en  alquiler en Recoleta - Posadas al 1400
                ",178,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14758109
Consultar Precio,84000,"Av Quintana  y Parera Categoria Super Luminoso Sup 104 m2
                ",N/A,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14763817
Consultar Precio,84000,"Av Quintana  y Parera Categoria Super Luminoso Sup 104 m2
                ",N/A,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14763816
