website,price,expenses,address,size,bedrooms,bathrooms,url,listing_url
https://www.zonaprop.com.ar,Consultar precio,$ 1,4 Ambientes + Dependencia - 292.26m² - Balcón + Terraza cub y Semi –oceana Puerto Madero. Cochera + Baulera,292,3,4,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/departamento-puerto-madero-oceana-51526312.html
https://www.zonaprop.com.ar,Consultar precio,$ 513.000,Tagle al 2800,425,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/departamento-en-palermo-chico-52656273.html
https://www.zonaprop.com.ar,Consultar precio,,Rodriguez Peña al 1600,259,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/duplex-amoblado-con-terraza-a-pulmon-verde-y-cochera-52804302.html
https://www.zonaprop.com.ar,Consultar precio,,Av Callao al 1700,260,4,not found,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/senorial-departamento-amoblado-de-4-dorm.-en-edificio-49919728.html
https://www.zonaprop.com.ar,$ 3.648.000,$ 70.000,Guatemala al 5100,238,3,5,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/alquiler-torre-bella-4-amb-piso-alto-238-m.-tot.-52636570.html
https://www.zonaprop.com.ar,Consultar precio,$ 1.111,Martin Coronado  al 3300,397,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/departamento-en-palermo-chico-52718463.html
https://www.zonaprop.com.ar,Consultar precio,,Figueroa Alcorta al 3000,320,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/departamento-de-3-dorm.-y-2-cocheras-en-palermo-chico.-52433331.html
https://www.zonaprop.com.ar,Consultar precio,,Martin Coronado 3600,411,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/alquiler-venta-martin-coronado-barrio-parque-3-52588440.html
https://www.zonaprop.com.ar,$ 3.600.000,$ 100.000,Guatemala al 5100,215,3,5,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/alquiler-torre-bella-5-amb-c-dep-piso-alto-215-m.-52636567.html
https://www.zonaprop.com.ar,Consultar precio,$ 170.000,Avda Alvear 1,130,4,not found,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/departamento-en-recoleta-52468952.html
https://www.zonaprop.com.ar,Consultar precio,$ 25.000,Alvear al 1500,175,6,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/departamento-en-alvear-impecable-y-amoblado-52691829.html
https://www.zonaprop.com.ar,Consultar precio,$ 135.000,Juan Francisco Segui al 3900,160,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/alquiler-departamento-ubicado-en-el-corazon-de-palermo-52561473.html
https://www.zonaprop.com.ar,$ 2.000.000,$ 240.000,Av. Congreso  al 1500,140,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-2.html,https://www.zonaprop.com.ar/propiedades/alquiler-departamento-4-amb.-full-amenities!-amoblado-52813201.html
