address,currency,price,expenses,size,bedrooms,bathrooms,listing_url,website,url,description,timestamp
"Departamento en Alquiler en Recoleta - 3 Dorm - Av Libertador al 800
                ",USD,1600,88000,110,3,3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14542141,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-10,"Departamento en alquiler amoblado en recoleta - av. Libertador al 800

se alquila por un mínimo de 6 meses
precio a consultar

características:

-3 dormitorios (principal y segundo dormitorio en suite). Cada dormitorio tiene un puesto de trabajo
-3 baños completos
- cocina
- living comedor amplio
-",2024-01-08T17:48:03.910479
"Quintana 500 - ALQUILER 4 AMBIENTES EXCELENTE ESTADO
                ",,,150000,165,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14545585,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-10,"Quintana al 500&nbsp;
amoblado
180 m2&nbsp;
3 dormitorios + dep&nbsp;
cochera&nbsp;",2024-01-08T17:48:03.912283
"Departamento en SAN BENITO DE PALERMO
                ",,,97000,96,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14578678,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-10,"Excelente semipiso al frente de 4 ambientes con cochera fija, 1 er subsuelo (nro 11)
edificio de categoria. Pisos tarugados en living comedor y dormitorios con pisos flotantes
persianas tipo barrio
expensas $ 27.581 aysa incluido(10/23) abl $ 14.500.-
Valor alquiler u$s 1250.-

Hall - toilette de recepcion
living comedor a balcon corrido
3 dormitorios en suite",2024-01-08T17:48:03.913976
"Departamento en SAN BENITO DE PALERMO
                ",,,97000,96,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14578679,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-10,"Excelente semipiso al frente de 4 ambientes con cochera fija, 1 er subsuelo (nro 11)
edificio de categoria. Pisos tarugados en living comedor y dormitorios con pisos flotantes
persianas tipo barrio
expensas $ 27.581 aysa incluido(10/23) abl $ 14.500.-
Valor alquiler u$s 1250.-

Hall - toilette de recepcion
living comedor a balcon corrido
3 dormitorios en suite",2024-01-08T17:48:03.915709
"Departamento en SAN BENITO DE PALERMO
                ",,,97000,96,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14578680,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-10,"Excelente semipiso al frente de 4 ambientes con cochera fija, 1 er subsuelo (nro 11)
edificio de categoria. Pisos tarugados en living comedor y dormitorios con pisos flotantes
persianas tipo barrio
expensas $ 27.581 aysa incluido(10/23) abl $ 14.500.-
Valor alquiler u$s 1250.-

Hall - toilette de recepcion
living comedor a balcon corrido
3 dormitorios en suite",2024-01-08T17:48:03.917406
"Quintana Manuel Pte Av al 200
                ",,,78000,150,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14603603,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Recoleta, alquiler, 3 dorm con dep. Ubicación exclusiva, departamento amueblado y decorado con marcado estilo. Detalles arquitectónicos ricos en diversidad.   Recoleta. Ubicacion exclusiva. Alquiler. Semipiso de 165m2. 3 dormitorios con dependencia. Decorado con buen gusto y estilo.

Garantia: fianza o seguro de caucion.",2024-01-08T17:48:09.488841
"Av Libertador 2677 PB
                ",,,142000,200,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-4-ambientes--14606277,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"El departamento esta ubicado en zona destacada de palermo, con un comfort y calidad único.&Nbsp;excelente acceso al centro y a zona norte.

Palier privado. Living - comedor con amplios ventanales con muy linda vista, con salida a un patio propio muy amplio. Toilette.
Cuenta con tres dormitorios : dormitorio principal en suite y dos dormitorios que comparten un baño.
Todos los ambientes",2024-01-08T17:48:09.490771
"Av Libertador  al 2100
                ",$,4500000,200000,180,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-5-ambientes--14612850,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Departamento con una planta super funcional, luminoso, muy bien ubicado. Al frente con vista a copa de los arboles. Una excelente distribución: cocina nueva y super cómoda, 3 cuartos, dos baños completos, vestidor, toilete, living amplio, comedor (que tambien puede usarse como living intimo o family), escritorio, cuarto de servicio y baño de servicio, cochera. Estadía mínima 6 meses.",2024-01-08T17:48:09.492565
"Cabello al 3900
                ",$,1200000,95000,98,3,3,https://www.argenprop.com/departamento-en-alquiler-en-botanico-4-ambientes--14613355,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,Excelente semipiso al frente - inmejorable ubicación  recién pintado - puertas blindadas pentágono en acceso principal y de servicio -&nbsp;cochera fija 1 er. Subsuelo - orientación: este  sup. Total: 102 m2 - sup. Cubierta: 98 m2  sup. Semicubierta (balcón): 4 m2  distribución:,2024-01-08T17:48:09.494300
"Figueroa Alcorta 3200
                ",,,180000,200,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-4-ambientes--14613808,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Le parc alcorta. Creo que eso dice todo. Una de las mejores torres de buenos aires. Amenities!
 Como un gran hotel 5 estrellas. Ubicación super privilegiada y vistas alucinantes. El resto hay que verlo, la calidad, diseño, amplitud, etc. 
Vista panorámica desde todos los ambientes. 
La planta tiene actualmente 3",2024-01-08T17:48:09.496097
"Castañeda 2000
                ",$,6750000,330000,200,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-chico-4-ambientes--14613814,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Espectacular departamento en torre forum alcorta con vista divina a verde y rio!!! 
4 ambientes con dependencia. Amplio living, comedor con hermosas vistas!!!
3 dormitorios muy cómodos, 2 de ellos en suite, la master suite posee un muy buen vestidor. El otro dormitorio tiene un baño completo también pero no en suite. 
Toilette de recepción y family de muy buenas dimensiones",2024-01-08T17:48:09.498014
"Rodríguez Peña al 1500
                ",,,125090,N/A,3,3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--14614051,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Edificio torre. Excelentes amenities. Pileta, cancha de paddle . Vigilancia 24 hs. Contra frente abierto lleno de luz y sol. Ascensores automaticos. Palier privado. Hall de entrada. Gran living&nbsp; y&nbsp; comedor a balcón terraza con cerramientos. Pisos tarugados.&Nbsp;toilette, tres dormitorios, uno en suite, dos baños completos",2024-01-08T17:48:09.499821
"Juan Francisco Segui al 3900
                ",USD,3000,135000,150,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico--14618090,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Departamento de 3 dormitorios en muy buen estado con dependencia y lavadero&nbsp;            
        unidad ubicada en el corazón de palermo, a una cuadra del eco parque y una cuadra de avenida libertador y la zona de parques.&Nbsp;el departamento cuenta con entrada privada con pallier individual, una recepción,&nbsp;3 dormitorios y dos baños completosun living muy grande, un comedor,",2024-01-08T17:48:09.501716
"Humboldt 2000
                ",$,2500000,70000,98,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-4-ambientes--14623283,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Torre mirabilia&nbsp;


piso alto&nbsp;


4 ambientes&nbsp;


103 m2&nbsp;


amenities


cochera no incluida valor u$s 50.000",2024-01-08T17:48:09.503600
"Humboldt 2000
                ",$,2500000,70000,98,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--14623285,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Torre mirabilia&nbsp;


piso alto&nbsp;


4 ambientes&nbsp;


103 m2&nbsp;


amenities


cochera no incluida valor u$s 50.000",2024-01-08T17:48:09.505481
"Humboldt 2000
                ",$,2500000,70000,98,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--14623288,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Torre mirabilia&nbsp;


piso alto&nbsp;


4 ambientes&nbsp;


103 m2&nbsp;


amenities




cochera no incluida valor u$s 50.000",2024-01-08T17:48:09.507302
"Migueletes al 1000
                ",$,2000000,200000,N/A,3,2,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--14625983,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Alquiler- 4 amb- balcón terraza-totalmente amoblado y equipado- amenities- palermo

excelente semipiso- amoblado y equipado- cochera fija - palier privado- amplia recepción con pisos de roble de eslavonia entablonada- balcón aterrazado al frente- una cómoda suite- segundo y tercer dormitorio con placard- baño completo- cocina independiente con comedor diario y",2024-01-08T17:48:09.509120
"Migueletes al 1000
                ",$,2000000,200000,N/A,3,2,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--14625984,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Alquiler- 4 amb- balcón terraza-totalmente amoblado y equipado- amenities- palermo

excelente semipiso- amoblado y equipado- cochera fija - palier privado- amplia recepción con pisos de roble de eslavonia entablonada- balcón aterrazado al frente- una cómoda suite- segundo y tercer dormitorio con placard- baño completo- cocina independiente con comedor diario y",2024-01-08T17:48:09.511403
"Migueletes al 1000
                ",$,2000000,200000,N/A,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14625992,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Alquiler- 4 amb- balcón terraza-totalmente amoblado y equipado- amenities- palermo

excelente semipiso- amoblado y equipado- cochera fija - palier privado- amplia recepción con pisos de roble de eslavonia entablonada- balcón aterrazado al frente- una cómoda suite- segundo y tercer dormitorio con placard- baño completo- cocina independiente con comedor diario y lavadero",2024-01-08T17:48:09.514009
"Migueletes al 1000
                ",$,2000000,200000,N/A,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14625993,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Alquiler- 4 amb- balcón terraza-totalmente amoblado y equipado- amenities- palermo

excelente semipiso- amoblado y equipado- cochera fija - palier privado- amplia recepción con pisos de roble de eslavonia entablonada- balcón aterrazado al frente- una cómoda suite- segundo y tercer dormitorio con placard- baño completo- cocina independiente con comedor diario y lavadero",2024-01-08T17:48:09.516150
"Migueletes al 1000
                ",$,2000000,200000,N/A,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14625994,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Alquiler- 4 amb- balcón terraza-totalmente amoblado y equipado- amenities- palermo

excelente semipiso- amoblado y equipado- cochera fija - palier privado- amplia recepción con pisos de roble de eslavonia entablonada- balcón aterrazado al frente- una cómoda suite- segundo y tercer dormitorio con placard- baño completo- cocina independiente con comedor diario y lavadero",2024-01-08T17:48:09.517852
"Cuba al 1700
                ",USD,1500,50000,92,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14631546,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Magnifico semipiso con palier privado en el corazon de belgrano con cochera fija cubierta
al contrafrente con vista&nbsp; abierta a pulmón y verde.


Gran estar comedor con salida a balcón
toillete de recepción
3 dormitorios con placard de guardado
cocina con barra y equipamiento con primeras marcas
1 baño completo&nbsp;
lavadero independiente.
Dependencia de",2024-01-08T17:48:09.519604
"Ugarteche 3100, Piso 6
                ",$,860000,60000,N/A,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-4-ambientes--14635827,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Alquiler departamento 4 ambientes guardacoche palermo apto profesional

alquiler departamento 4 ambientes con espacio guardacoches
living comedor con pisos de parquete a balcón corrido al frente.
Piso 6 – 70m2 totales - apto profesional
super luminoso y en excelente estado.
3 dormitorios, dos de ellos al frente con placard
tercer dormitorio al contrafrente
cocina con lavadero incorporado y espacio",2024-01-08T17:48:09.521519
"Marcelo Torcuato de Alvear 1500
                ",,,N/A,110,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14648843,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Alquiler residencial o temporario / recoleta 

la unidad es  un departamento de  4 ambientes en excelente estado.

Cuenta con un living comedor con piso de  parquet. 
Excelente iluminación con ventana al pulmón del edificio.
Cocina independiente, horno a gas, alacenas y bajo mesada. Ventana al pulmón del edificio.
Tres dormitorios amplios con placares de techo a piso y piso de parquet. 
Todos con",2024-01-08T17:48:09.523560
"Av Quintana  y Parera Categoria Super Luminoso Sup 104 m2
                ",,,84000,N/A,3,2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14653465,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-11,"Excelente ubicacion en plena recoleta
edificio con jardin, sum y pileta para chicos.
 Palier privado.&Nbsp;super luminoso.
Hall. Living comedor. 3 dormitiorios
2 baños. Cocina. Lavadero incorporado.&Nbsp;dependencia&nbsp; de servicio
servicios centrales. Pisos de parquet.&Nbsp; vigilancia 24 hrs
terraza de uso común.
Martin llauro mat.",2024-01-08T17:48:09.525283
"Salguero al 3000
                ",$,9000000,175000,220,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-4-ambientes--14654867,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Inigualable piso altísimo en la torre gelly, palier privado con dos ascensores, hall, gran recepción apaisada a balcón aterrazado con espectaculares vistas al rio y ciudad, working place , comedor, toilette, 3 suites, master con amplio vestidor y baño compartimentado con hidromasaje y ducha escocesa, cocina con isla full equipada con electrodomésticos importados",2024-01-08T17:48:15.955377
"Galileo al 2400
                ",$,2400000,317000,232,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--14654999,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"En el exclusivo sector de la isla - recoleta encontramos este espectacular piso de categoria de 328 m2 con 2 cocheras.


Ubicado sobre la calle galileo a 50 mts de plazoleta gelly y obes, 1 cuadra de av. Las heras y 2 cuadras de av. Del libertador.
Zona privilegiada en la que se encuentran ubicadas la biblioteca nacional, shopping buenos",2024-01-08T17:48:15.957493
"Olleros al 1700
                ",$,1280000,92300,120,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-4-ambientes--14660077,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Departamento en alquiler de 4 ambientes con dependencia de servicio en el corazón de cañitas. Piso siete, al frente, muy luminoso, con balcón!
            
        
Ubicado en olleros entre migueletes y soldado de la independencia, a 3 cuadras de av. Del libertador y de av. Luis maría campos.
Living y living comedor con salida a balcón de 10 m2,",2024-01-08T17:48:15.959477
"Arcos 2400
                ",$,950000,88000,96,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14522997,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Departamento semipiso con 3 habitaciones, balcon corrido al frente, habitacion de servicio,  cochera.

Disponible a partir del 15 de diciembre 2023.
A tres cuadras de av: cabildo, en un 3º piso. Muy luminoso y con espacios amplios y cómodos. 
Living comedor integrados, cocina con comedor diario independientes, toilette, dos habitaciones con baño completo, habitación principal en suite, lavadero y",2024-01-08T17:48:15.961378
"Avenida Presidente Manuel Quintana 200
                ",USD,900,100000,81,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14662995,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Alquiler anual en quintana 257, recoleta
entre rodríguez peña y montevideo

semipiso 4 ambientes al frente
todo luz y sol en todos los ambientes! Estado impecable- 
el departamento se entrega recién pintado y  con pisos hidrolaqueados. Recientemente refaccionado.

El departamento
palier semi privado
living comedor con acceso al balcón (con aire acondicionado)
dormitorio principal con acceso al",2024-01-08T17:48:15.963215
"GUATEMALA  al 5100
                ",$,1111111,N/A,N/A,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho--14668610,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Palermo soho,&nbsp;            
        la mejor torre,en la mejor ubicación&nbsp;&nbsp;torre bella , premium lo max ,ful ful amenities220m2 , estrenar máxima categoría3 suites&nbsp;master suite, gran balcón&nbsp;aterrazado , comedor diario playroom&nbsp;vista al rio y a toda la ciudad&nbsp;piso altoorientación n , dársena de entrada para autos ,2 cocheras&nbsp;asensor",2024-01-08T17:48:15.965259
"Av Olazabal  al 2200
                ",$,2100000,N/A,80,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--14670606,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Torre union - full amenities - amoblado - 2 dormitorios cochera y baulera piso alto de categoria. Precio incluye expensas y abl  

espectacular departamento en torre union, torre emblematica y moderna en el barrio de belgrano, con amenities de hotel.


Piscina en pb para adultos y niños, jacuzzi,  parrilla , salón de usos múltiples , gimnasio en el primer subsuelo , sauna y",2024-01-08T17:48:15.967078
"Av Olazabal  al 2200
                ",$,2100000,N/A,80,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--14670607,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Torre union - full amenities - amoblado - 2 dormitorios cochera y baulera piso alto de categoria. Precio incluye expensas y abl  

espectacular departamento en torre union, torre emblematica y moderna en el barrio de belgrano, con amenities de hotel.


Piscina en pb para adultos y niños, jacuzzi,  parrilla , salón de usos múltiples , gimnasio en el primer subsuelo , sauna y",2024-01-08T17:48:15.968915
"Humboldt 2000
                ",$,2500000,70000,98,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-4-ambientes--14673255,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Torre mirabilia&nbsp;


piso alto&nbsp;


4 ambientes&nbsp;


103 m2&nbsp;


amenities


cochera no incluida valor u$s 50.000",2024-01-08T17:48:15.970685
"Posadas  al 1400
                ",$,2600000,140000,200,3,3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--14677392,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Único departamento en recoleta. 230 m2 con balcón corrido. 
2 cocheras. 3 dormitorios. Uno en suite. Pieza de servicio.
 3 baños, 1 toilette.
Biblioteca, living amplio, gran comedor, cocina espaciosa con mesa para desayunos diarios.
Séptimo piso frente.
Seguridad las 24 horas&nbsp;
detalles de categoría, en una de las mejores zonas de la capital.
Se alquila amoblado, en caso de",2024-01-08T17:48:15.972522
"POSADAS  al 1400
                ",$,2500000,N/A,245,3,3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14680903,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Semipiso de categoria excelente ubicacion balcon aterrazado, 3 dormitorios (dormitorio principal en suite) vestidor, amoblado, muy luminoso living y comedor, cocina con comedor diario, dependencia con baño de servicio,  3 baños completos, toilette, 2 cocheras fijas, baulera, seguridad 24 hs.  Precio de alquiler incluye expensas. Nota: las medidas y/o superficies consignadas, monto de las expensas,",2024-01-08T17:48:15.974178
"O'Higgins al 1300
                ",$,22000000,N/A,200,3,N/A,https://www.argenprop.com/casa-en-alquiler-en-belgrano-9-ambientes--14682495,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Espectacular casona de estilo, con ascensor y gran jardín. 4 pisos, con todo el glamour de los años dorados.
Planta baja:&nbsp;
hall, cocina y comedor para empleados.
Habitación para cocinero + habitación para el mayordomo.&Nbsp; salida a jardín.
Alacena, bodega y sala de máquinas.
3 cocheras.


1er piso:
hall.
Gran living comedor.
Salida a terraza con escalinata a jardín.
Cocina con",2024-01-08T17:48:15.976056
"Juan Francisco Seguí 4000
                ",$,1900000,300000,127,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--14684929,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Alquiler de departamento 4 ambientes con dependencias, cochera y baulera, en el barrio de palermo!

La propiedad se ubica al frente en un 2º piso con orientación noroeste, y consta de un palier privado, recepción, living comedor con salida al balcón, pasillo, toilette, paso con placard incorporado, escritorio, distribuidor, baño completo, tres dormitorios con placard incorporado, uno de ellos con",2024-01-08T17:48:15.977790
"GUATEMALA  al 5100
                ",USD,5500,N/A,N/A,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho--14685259,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Palermo soho,&nbsp;            
        la mejor torre,en la mejor ubicación&nbsp;&nbsp;torre bella , premium lo max ,ful ful amenities220m2 , estrenar máxima categoría3 suites&nbsp;master suite, gran balcón&nbsp;aterrazado , comedor diario playroom&nbsp;vista al rio y a toda la ciudad&nbsp;piso altoorientación n , dársena de entrada para autos ,2 cocheras&nbsp;asensor",2024-01-08T17:48:15.979507
"GUATEMALA  al 5100
                ",USD,5500,N/A,N/A,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho--14685260,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Palermo soho,&nbsp;            
        la mejor torre,en la mejor ubicación&nbsp;&nbsp;torre bella , premium lo max ,ful ful amenities220m2 , estrenar máxima categoría3 suites&nbsp;master suite, gran balcón&nbsp;aterrazado , comedor diario playroom&nbsp;vista al rio y a toda la ciudad&nbsp;piso altoorientación n , dársena de entrada para autos ,2 cocheras&nbsp;asensor",2024-01-08T17:48:15.981440
"Talcahuano al 1200
                ",$,1600000,423000,193,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--14693450,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Edificio fariña. 
Piso alto con balcón aterrazado. Alquiler con muebles&nbsp;
amoblado con lo que está. Algunas cosas se podrían sacar.
Vista abierta. Mucha luz. 
Hall de entrada, living apaisado a balcón al frente y comedor con desnivel.&Nbsp;toilette.&Nbsp;
tres dormitorios en suite.&Nbsp; uno con vestidor y vista abierta al contra frente y otro",2024-01-08T17:48:15.983091
"Talcahuano al 1200
                ",$,1600000,423000,193,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--14693449,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Edificio fariña. 
Piso alto con balcón aterrazado. Alquiler con muebles&nbsp;
amoblado con lo que está. Algunas cosas se podrían sacar.
Vista abierta. Mucha luz. 
Hall de entrada, living apaisado a balcón al frente y comedor con desnivel.&Nbsp;toilette.&Nbsp;
tres dormitorios en suite.&Nbsp; uno con vestidor y vista abierta al contra frente y otro",2024-01-08T17:48:15.984868
"Av figueroa alcorta y Salguero
                ",$,1550000,100000,125,3,2,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--14693597,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Departamento de 4 ambientes mas dependencia y cochera por rampa en av. Figueroa alcorta y salguero, posee 2 baños 1 completo y otro que funciona como toilette y tiene ducha. Proximo al malba paseo alcorta y colegios, excelente ubicacion, muy luminoso todos los ambientes poseen ventanas al exterior, seguridad 24hrs.


Orientacion ne
expensas 60.000$
seguridad y porteros 24hrs.",2024-01-08T17:48:15.986482
"Lafinur 3200
                ",,,N/A,173,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-5-ambientes--14694838,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Imponente piso amoblado de casi 200m2 super luminoso desarrollado en edificio de categoría. Excelente calidad constructiva.
Disponible a partir de febrero del 2024.
Totalmente refaccionado. Pisos de madera en toda su extensión muy bien mantenidos. Ventanales con doble vidrio hermético. Sistema de calefacción central distribuido en cada ambiente.
Equipos de aa frío calor también instalados en cada",2024-01-08T17:48:15.988286
"La Pampa 1900
                ",USD,920,60000,135,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14703579,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-12,"Oportunidad!!!! Excelente departamento 4 ambientes amueblado, con un gran balcón terraza a pulmón verde.
A metros de las barrancas de belgrano. Depto 3er piso al contra frente, con vista abierta a pulmón de manzana.

Al  departamento se accede por el palier privado. Se ingresa al mismo  por un amplio living comedor totalmente equipado con mesa de comedor con sus respectivas sillas, amplio sofá de",2024-01-08T17:48:15.989980
"Blanco Encalada 1700, Piso 8
                ",$,950000,93000,81,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14703618,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-13,"Lindísimo departamento en torre, super luminoso, vista abierta, con amplio patio, jardín perimetral y area de juegos.  Impecable!!!  Tres buenos dormitorios, un baño completo más toilette de recepción, cocina, lavadero aparte y cochera fija. Aire acondicionado en el living y un dormitorio, ventiladores de techo en los demás ambientes. Persianas eléctricas en el living y dormitorio principal.  El",2024-01-08T17:48:21.734183
