address,currency,price,expenses,size,bedrooms,bathrooms,listing_url,website,url,description,timestamp
"OHiggins  al 1900
                ",USD,1800,182000,160,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas--14483888,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Espectacular piso en el corazón de barrancas de belgrano en alquiler
el departamento:
- palier privado
- amplísimo living con comedor separado
- mega balcón corrido a la calle ohiggins
- master suite con baño en suite y salida a balcón
- 2 luminosos dormitorios con salidas balcón
- escritorio/oficina
- cocina con comedor diario
- area de servicio con lavadero y baño
- pisos",2024-01-08T17:47:11.468480
"Av de los Incas al 3300
                ",USD,3000,180000,286,3,3,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-4-ambientes--13595480,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Profesional





*** alquiler ***&nbsp; piso *** vista al rio ***4 dormitorios *** piso muy alto ***2 cocheras fijas *** 2 balcones *** 2 dependencias&nbsp;
*** full amenities *** seguridad 24hs *** baulera *** 360m2 totales


unidad:
4 dormitorios
living comedor
comedor diario
balcon aterrazado
3 baños completos
toilette
2 dependencias
lavadero independiente
2 cocheras",2024-01-08T17:47:11.470241
"JOSÉ HERNANDEZ 1700
                ",$,2500000,190000,145,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-4-ambientes--11341474,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Excelente unidad, en lo mejor de belgrano.
Fácil acceso. Tren - subte-buses, etc
cercano a avenidas y barrancas
shoppings - supermercados
colegios y universidades
aire acondicionado en todos los ambientes principales
palier privado-living comedor con grandes ventanales
balcón al grente - todo luz
toilette de recepción
dos baños completos
tres dormitorios (uno en suite)
dependencias con baño
cocina",2024-01-08T17:47:11.471994
"Lafinur 2964
                ",USD,1800,100000,125,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--15120629,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Valor 1.800 usd!

Departamento de 4 ambientes mas dependencia y cochera (espacio guardacoche).&Nbsp;
todo reciclado con muy buen gusto! Ubicado en lo mejor de palermo chico, a metros del museo de evita, y del botánico.

Tiene entrada principal y de servicio, gran living comedor con salida a un patio jardín de 55 m2 lleno de luz y plantas.

Cocina",2024-01-08T17:47:11.473690
"Santa Fe 4000, Piso 7
                ",$,750000,100000,100,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--6761510,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Palermo - piso en alquiler - 3 dormitorios - dependencia de servicio - balcon - lavadero  - excelente iluminacion -  gran vista a jardin botanico - alquiler $ 750.000 + expensas - requisitos del propietario: seguro de caucion - ingresos demostrables - solicitar visita!
Las imágenes son meramente ilustrativas, no contractuales. ( ) Las superficies, medidas y expensas aquí citadas son aproximadas al",2024-01-08T17:47:11.475428
"Olleros al 1700
                ",$,950000,N/A,100,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-4-ambientes--15138151,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"El valor injcluye&nbsp; &nbsp;expensas&nbsp; y agip&nbsp; -
 muy buen&nbsp; piso&nbsp; de 4 ambientes con dependencia completa entrada de servico&nbsp; frente y espacio&nbsp; cochera distribuidos en una sola planta la cocina y baños&nbsp; reciclados hace unos años puerta blindada -&nbsp; &nbsp;.Gran living comedor&nbsp; en l&nbsp; con balcon frente&nbsp; con cerramiento -&nbsp; toilette&nbsp;",2024-01-08T17:47:11.477133
"Ortega y Gasset  Disponible a partir del 06/02/24
                ",$,1800000,110000,155,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-6-ambientes--14848036,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Excelente departamento desarollado en una planta&nbsp; en el corazon de cañitas , 6 ambientes ; imponente recepción , con grandes ventanales , super luminoso, amplios ambientes; 3 dormitorios con amplios placares&nbsp; ; uno en suite con vestidor , y dos dormitorios que compraten un baño completo , dependencia de servicio con su baño completo, cocina totalmente",2024-01-08T17:47:11.478883
"Av Cnel Diaz 2300, Piso alto
                ",USD,2000,N/A,100,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte--5288332,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Descripción

excelente ubicacion cerca de parque las heras y shopping alto palermo. Edificio de mucha categoria proyecto de mario r. Alvarez con vigilancia 24 horas. Semipiso muy alto con excelente vista de living comedor 3 dormitorios. Balcon de 9 x 1,20 .Sobriamente amoblado. Aire acondicionado en living y dormitorios. Excelente estado, recien pintado y pisos plastificado. Cochera fija",2024-01-08T17:47:11.480716
"Esmeralda 1300, Piso 1
                ",USD,2300,12000,155,3,3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14922948,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Esmeralda 1355 y juncal, entre av. Del libertador y juncal, recoleta. Edificio petit estrugamou. Piso 1. Al frente. Amoblado y equipado. Departamento 4 ambientes. 3 dormitorios. 3 baños. Living y comedor independientes. Superficie: 165 m2. Totalmente reciclado, impecable. Hall de entrada al departamento grande, o escritorio. Pisos de roble de eslavonia en recepción, pasillos, y dormitorios. Living",2024-01-08T17:47:11.482444
"Moldes 3400
                ",$,750000,N/A,95,3,3,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--15116533,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Se libera 30 de enero 2024, se puede ver antes!!  Lo maneja leo

se requiere garantia de capital federal y justificacion de ingresos!!  

Ajuste trimestral: 25%

en la exclusiva zona de belgrano, en la calle moldes, se encuentra este hermoso departamento en alquiler que no puedes dejar pasar. Con un precio de ar$750.000, esta propiedad se destaca por su elegancia y comodidad, ideal para aquellos",2024-01-08T17:47:11.484027
